"Team_name","Team_PTS","Team_FGM","Team_FGA","Team_ThreePM","Team_ThreePA","Team_FTM","Team_FTA","Team_OR","Team_DR","Team_REB","Team_AST","Team_STL","Team_BLK","Team_TO","Team_PF","Team_FG_percent","Team_ThreeP_percent","Team_FT_percent"
"Sam Houston Bearkats","78.0","28.2","62.5","7.6","22.3","14.0","18.8","10.1","24.1","34.2","15.8","9.3","2.9","14.3","20.8","45.1","34.2","74.1"
"South Dakota State Jackrabbits","77.9","28.6","58.2","7.3","21.2","13.4","19.0","9.6","28.7","38.3","14.3","5.0","3.3","13.0","16.7","49.1","34.7","70.7"
"Marquette Golden Eagles","77.8","25.3","58.8","10.0","26.2","17.1","23.1","10.6","29.2","39.8","13.5","5.1","4.2","13.7","19.1","43.0","38.2","74.3"
"Iowa Hawkeyes","77.7","27.2","60.3","7.9","22.7","15.5","20.7","11.5","26.0","37.5","17.4","6.2","3.9","12.1","16.0","45.1","34.7","75.0"
"St. Francis (PA) Red Flash","77.7","28.1","60.1","6.4","17.7","15.1","20.1","11.1","25.0","36.2","11.7","7.0","2.7","12.2","16.7","46.7","36.0","75.0"
"Hampton Pirates","77.5","27.2","59.6","6.3","18.9","16.9","24.1","10.6","26.1","36.7","14.6","5.0","3.8","11.7","19.1","45.6","33.2","69.9"
"Nevada Wolf Pack","77.1","27.1","60.6","10.0","26.0","12.9","17.1","8.7","29.6","38.3","14.9","5.1","3.5","12.0","19.6","44.7","38.3","75.3"
"Nicholls Colonels","77.0","28.4","64.0","8.0","23.8","12.2","16.3","11.3","23.4","34.7","13.2","10.0","3.7","13.5","19.2","44.4","33.7","74.8"
"UTSA Roadrunners","76.9","27.1","64.9","9.6","27.5","13.2","17.3","11.0","28.0","39.0","12.4","5.9","2.7","12.9","20.2","41.7","35.0","76.3"
"Furman Paladins","76.8","27.5","58.0","9.4","26.8","12.3","17.5","7.8","23.8","31.6","14.8","8.3","2.8","11.4","15.5","47.4","35.2","70.1"
"Florida International Panthers","76.7","28.1","61.5","8.9","25.6","11.7","17.9","10.9","24.8","35.7","14.7","8.8","6.6","15.1","17.3","45.6","34.9","65.0"
"New Mexico Lobos","76.7","27.0","58.0","7.0","21.3","15.7","21.8","9.5","25.7","35.1","15.0","8.1","2.9","14.4","15.6","46.6","32.7","72.0"
"Western Kentucky Hilltoppers","76.6","26.0","56.8","7.1","20.9","17.6","22.3","8.4","25.4","33.8","11.1","6.7","4.0","12.3","13.8","45.7","33.8","78.9"
"Utah State Aggies","76.5","26.6","57.9","7.3","21.9","15.9","20.9","10.8","30.0","40.7","16.5","6.1","3.2","12.5","15.7","46.0","33.3","76.3"
"Arizona Wildcats","76.4","26.6","59.5","7.3","20.7","16.0","21.8","10.9","26.5","37.4","15.4","6.8","3.7","11.8","18.5","44.6","35.2","73.2"
"Hofstra Pride","76.4","26.3","58.6","8.3","22.1","15.4","19.7","10.4","24.4","34.8","12.3","6.9","2.1","11.3","14.2","45.0","37.5","78.3"
