"Team_name","Team_BPI","Team_DEF_I","Team_OFF_I"
"Ohio State Buckeyes","13.8","11.8","2.1"
"UCLA Bruins","13.8","1.8","12.0"
"San Diego State Aztecs","13.3","11.5","1.8"
"VCU Rams","13.0","6.2","6.8"
"Iowa State Cyclones","12.9","0.0","12.8"
"Gonzaga Bulldogs","12.8","5.7","7.1"
"UConn Huskies","12.7","8.5","4.3"
"Cincinnati Bearcats","12.1","12.2","-0.1"
"North Carolina Tar Heels","12.0","3.8","8.2"
"Harvard Crimson","11.8","7.2","4.6"
"Oregon Ducks","11.4","-0.2","11.7"
"Arkansas Razorbacks","11.4","1.1","10.3"
"Baylor Bears","11.0","5.2","5.8"
"Louisiana Tech Bulldogs","10.7","3.1","7.6"
"Florida State Seminoles","10.1","5.7","4.4"
"Arizona State Sun Devils","10.1","2.4","7.6"
"Memphis Tigers","10.0","2.7","7.3"
"SMU Mustangs","9.9","7.3","2.6"
"Saint Louis Billikens","9.9","8.9","1.0"
"Utah Utes","9.9","6.5","3.4"
"Xavier Musketeers","9.6","4.5","5.1"
"St. John's Red Storm","9.5","5.2","4.4"
"Oklahoma Sooners","9.5","-1.9","11.4"
"Clemson Tigers","9.2","13.2","-4.0"
"North Dakota State Bison","9.2","4.3","4.9"
"George Washington Revolutionaries","9.1","5.2","3.9"
"New Mexico Lobos","9.1","3.3","5.8"
"Georgetown Hoyas","9.1","5.8","3.3"
"Massachusetts Minutemen","9.1","1.5","7.6"
"Providence Friars","8.8","2.7","6.2"
"Dayton Flyers","8.6","4.1","4.5"
"Maryland Terrapins","8.5","3.9","4.6"
"Florida Gators","21.2","13.7","7.5"
"Louisville Cardinals","21.0","10.3","10.7"
"Indiana Hoosiers","20.2","6.4","13.8"
"Duke Blue Devils","17.6","5.4","12.2"
"Kansas Jayhawks","16.8","6.9","9.8"
"Pittsburgh Panthers","16.7","12.2","4.5"
"Gonzaga Bulldogs","16.4","5.6","10.7"
"Michigan Wolverines","16.1","5.0","11.0"
"Ohio State Buckeyes","15.9","8.5","7.5"
"Wisconsin Badgers","15.6","13.2","2.4"
"Syracuse Orange","15.0","8.0","7.0"
"Arizona Wildcats","14.5","5.3","9.2"
"VCU Rams","14.4","4.8","9.6"
